date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:30	57457/57457	---M--	200	added ('OK')	image/svg+xml	etag:W/%22e071-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.svg	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueMedium.svg	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:30	40346/40346	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%229d9a-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.eot?	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCondd41d.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:31	15908/15908	---M--	200	added ('OK')	font/woff2	etag:W/%223e24-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.woff2	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.woff2	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:31	20392/20392	---M--	200	added ('OK')	font/woff	etag:W/%224fa8-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.woff	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.woff	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:31	40044/40044	---M--	200	added ('OK')	font/ttf	etag:W/%229c6c-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.ttf	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.ttf	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:32	54305/54305	---M--	200	added ('OK')	image/svg+xml	etag:W/%22d421-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.svg	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBlackCond.svg	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:32	37808/37808	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2293b0-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueLight.eot	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueLight.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:32	37808/37808	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2293b0-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueLight.eot?	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueLightd41d.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:32	16280/16280	---M--	200	added ('OK')	font/woff2	etag:W/%223f98-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueLight.woff2	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueLight.woff2	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:33	20680/20680	---M--	200	added ('OK')	font/woff	etag:W/%2250c8-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueLight.woff	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueLight.woff	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:33	37524/37524	---M--	200	added ('OK')	font/ttf	etag:W/%229294-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueLight.ttf	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueLight.ttf	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:33	57983/57983	---M--	200	added ('OK')	image/svg+xml	etag:W/%22e27f-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueLight.svg	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueLight.svg	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:34	41776/41776	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22a330-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueItalic.eot?	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueItalicd41d.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:34	17508/17508	---M--	200	added ('OK')	font/woff2	etag:W/%224464-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueItalic.woff2	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueItalic.woff2	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:35	22576/22576	---M--	200	added ('OK')	font/woff	etag:W/%225830-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueItalic.woff	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueItalic.woff	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:35	41776/41776	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22a330-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueItalic.eot	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueItalic.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:35	41496/41496	---M--	200	added ('OK')	font/ttf	etag:W/%22a218-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueItalic.ttf	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueItalic.ttf	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:36	65275/65275	---M--	200	added ('OK')	image/svg+xml	etag:W/%22fefb-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueItalic.svg	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueItalic.svg	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:38	45224/45224	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22b0a8-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBold.eot?	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBoldd41d.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:38	17532/17532	---M--	200	added ('OK')	font/woff2	etag:W/%22447c-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBold.woff2	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBold.woff2	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:39	22376/22376	---M--	200	added ('OK')	font/woff	etag:W/%225768-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBold.woff	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBold.woff	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:39	44944/44944	---M--	200	added ('OK')	font/ttf	etag:W/%22af90-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBold.ttf	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBold.ttf	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:39	45224/45224	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22b0a8-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBold.eot	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBold.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:40	57457/57457	---M--	200	added ('OK')	image/svg+xml	etag:W/%22e071-1710293fe9d%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBold.svg	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueBold.svg	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:40	45006/45006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22afce-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueThin.eot	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueThin.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:40	45006/45006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22afce-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueThin.eot?	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueThind41d.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:41	17552/17552	---M--	200	added ('OK')	font/woff2	etag:W/%224490-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueThin.woff2	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueThin.woff2	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:41	22308/22308	---M--	200	added ('OK')	font/woff	etag:W/%225724-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueThin.woff	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueThin.woff	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:41	44724/44724	---M--	200	added ('OK')	font/ttf	etag:W/%22aeb4-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueThin.ttf	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueThin.ttf	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:42	44788/44788	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22aef4-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueRegular.eot	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueRegular.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:42	44788/44788	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22aef4-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueRegular.eot?	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueRegulard41d.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:43	18116/18116	---M--	200	added ('OK')	font/woff2	etag:W/%2246c4-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueRegular.woff2	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueRegular.woff2	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:43	23296/23296	---M--	200	added ('OK')	font/woff	etag:W/%225b00-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueRegular.woff	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueRegular.woff	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:43	58011/58011	---M--	200	added ('OK')	image/svg+xml	etag:W/%22e29b-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueThin.svg	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueThin.svg	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:43	44504/44504	---M--	200	added ('OK')	font/ttf	etag:W/%22add8-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueRegular.ttf	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueRegular.ttf	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:44	41420/41420	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22a1cc-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueHeavy.eot	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueHeavy.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:44	41420/41420	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22a1cc-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueHeavy.eot?	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueHeavyd41d.eot	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:44	17080/17080	---M--	200	added ('OK')	font/woff2	etag:W/%2242b8-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueHeavy.woff2	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueHeavy.woff2	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:44	21656/21656	---M--	200	added ('OK')	font/woff	etag:W/%225498-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueHeavy.woff	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueHeavy.woff	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:45	41136/41136	---M--	200	added ('OK')	font/ttf	etag:W/%22a0b0-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueHeavy.ttf	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueHeavy.ttf	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:45	62509/62509	---M--	200	added ('OK')	image/svg+xml	etag:W/%22f42d-1710293fea5%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueRegular.svg	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueRegular.svg	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
12:25:45	56325/56325	---M--	200	added ('OK')	image/svg+xml	etag:W/%22dc05-1710293fea1%22	https://covid.apollo247.com/static/assets/font/hinted-HelveticaNeueHeavy.svg	C:/My%20Web%20Sites/CMED_CORONA_CHATBOT/covid.apollo247.com/static/assets/font/hinted-HelveticaNeueHeavy.svg	(from https://covid.apollo247.com/static/assets/font/stylesheet.css)
